state,latitude,longitude,city,name,status,founded_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,avg_participants,is_top500,id,funding_duration_first,funding_duration_last,broad_category,funding_category
California,37.796843,-122.400346,San Francisco,Demandbase,operating,2006-01-01,2008-08-25,2013-03-28,2.65,7.24,4.38,7.17,19,3,33000000,3,CA,analytics,0,0,0,1,1,4.33,1,2,967,2643,Software,High
California,37.775196,-122.419204,San Francisco,Wikinvest,operating,2006-01-01,2007-10-01,2007-10-01,1.75,1.75,4.5,6.33,7,1,2500000,2,CA,web,0,0,1,0,0,1.0,1,3,638,638,Software,Medium
California,36.116203,-119.681564,San Francisco,Jogabo,closed,2011-01-01,2011-11-04,2011-11-04,0.84,0.84,1.92,1.92,5,1,40000,1,CA,games_video,0,1,0,0,0,1.0,1,4,307,307,Software,Low
California,37.384239,-122.012475,Sunnyvale,iCharts,closed,2008-01-01,2012-02-29,2012-02-29,4.16,4.16,1.61,4.16,5,1,3100000,3,CA,analytics,0,0,1,0,0,4.0,1,5,1520,1520,Software,Medium
New York,42.165726,-74.948051,New York,ChatID,operating,2011-04-01,2011-07-01,2013-05-31,0.25,2.17,1.76,1.76,9,3,3268000,1,NY,mobile,0,1,0,0,0,6.0,1,6,91,791,software,Medium
California,37.555962,-122.288006,San Mateo,Brand.net,operating,2007-01-01,2007-11-12,2010-06-22,0.86,3.47,5.0,5.0,13,3,27000000,1,CA,advertising,0,0,1,1,1,2.0,1,7,315,1268,Service,High
Kansas,39.028882,-94.634808,Fairway,C2FO,operating,2008-02-01,2012-09-05,2013-07-23,4.6,5.48,4.6,4.6,1,2,27100000,1,KS,software,0,0,1,1,0,2.5,1,8,1678,1999,Software,High
California,34.054259,-118.414064,Los Angeles,Quant the News,operating,2007-01-01,2007-01-01,2007-01-01,0.0,0.0,1.69,1.69,2,1,150000,1,CA,web,0,1,0,0,0,2.0,0,9,0,0,Software,Low
Washington,47.6254784,-122.3564234,Seattle,Foodista,operating,2008-02-01,2009-04-16,2010-04-08,1.21,2.18,1.22,1.22,3,2,1300000,1,WA,hospitality,1,0,1,0,0,1.0,0,10,440,797,Service,Low
California,37.421621,-122.137444,San Mateo,Funny Or Die,operating,2007-03-01,2007-04-01,2008-12-23,0.08,1.82,5.76,6.49,16,4,18000000,2,CA,games_video,1,0,1,1,0,1.67,1,11,31,663,Software,High
Ohio,40.388783,-82.764915,Cincinnati,SoMoLend,operating,2011-05-11,2011-09-10,2013-03-06,0.33,1.82,1.29,1.29,4,5,5395000,1,OH,finance,0,1,0,0,0,3.67,1,12,122,665,Service,Medium
